AIRLINE,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,DISTANCE
United Air Lines Inc.,FLL,"Fort Lauderdale, FL",EWR,"Newark, NJ",1065.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",SEA,"Seattle, WA",1399.0
United Air Lines Inc.,DEN,"Denver, CO",MSP,"Minneapolis, MN",680.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",SFO,"San Francisco, CA",1589.0
Spirit Air Lines,MCO,"Orlando, FL",DFW,"Dallas/Fort Worth, TX",985.0
Southwest Airlines Co.,DAL,"Dallas, TX",OKC,"Oklahoma City, OK",181.0
American Airlines Inc.,DCA,"Washington, DC",BOS,"Boston, MA",399.0
Republic Airline,HSV,"Huntsville, AL",DCA,"Washington, DC",613.0
Spirit Air Lines,IAH,"Houston, TX",LAX,"Los Angeles, CA",1379.0
Alaska Airlines Inc.,SEA,"Seattle, WA",FAI,"Fairbanks, AK",1533.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",BDL,"Hartford, CT",859.0
American Airlines Inc.,RDU,"Raleigh/Durham, NC",DFW,"Dallas/Fort Worth, TX",1061.0
Southwest Airlines Co.,MDW,"Chicago, IL",BNA,"Nashville, TN",395.0
Delta Air Lines Inc.,BDL,"Hartford, CT",ATL,"Atlanta, GA",859.0
Southwest Airlines Co.,SJC,"San Jose, CA",LAX,"Los Angeles, CA",308.0
Southwest Airlines Co.,BWI,"Baltimore, MD",BDL,"Hartford, CT",283.0
Delta Air Lines Inc.,STT,"Charlotte Amalie, VI",ATL,"Atlanta, GA",1599.0
Southwest Airlines Co.,DAL,"Dallas, TX",MSY,"New Orleans, LA",436.0
Spirit Air Lines,DEN,"Denver, CO",IAH,"Houston, TX",862.0
United Air Lines Inc.,SRQ,"Sarasota/Bradenton, FL",ORD,"Chicago, IL",1050.0
JetBlue Airways,JFK,"New York, NY",CHS,"Charleston, SC",636.0
Spirit Air Lines,FLL,"Fort Lauderdale, FL",ACY,"Atlantic City, NJ",977.0
Delta Air Lines Inc.,GRR,"Grand Rapids, MI",MSP,"Minneapolis, MN",408.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",PNS,"Pensacola, FL",604.0
PSA Airlines Inc.,CLT,"Charlotte, NC",RDU,"Raleigh/Durham, NC",130.0
United Air Lines Inc.,ORD,"Chicago, IL",IAD,"Washington, DC",588.0
Allegiant Air,LAS,"Las Vegas, NV",GEG,"Spokane, WA",806.0
ExpressJet Airlines LLC d/b/a aha!,TUL,"Tulsa, OK",IAH,"Houston, TX",429.0
Republic Airline,MSP,"Minneapolis, MN",EWR,"Newark, NJ",1008.0
Allegiant Air,USA,"Concord, NC",SFB,"Sanford, FL",457.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",RNO,"Reno, NV",1345.0
American Airlines Inc.,ORD,"Chicago, IL",ABQ,"Albuquerque, NM",1118.0
American Airlines Inc.,SLC,"Salt Lake City, UT",DFW,"Dallas/Fort Worth, TX",989.0
SkyWest Airlines Inc.,IAH,"Houston, TX",BOI,"Boise, ID",1482.0
Southwest Airlines Co.,BNA,"Nashville, TN",MCI,"Kansas City, MO",491.0
United Air Lines Inc.,AUS,"Austin, TX",IAH,"Houston, TX",140.0
Southwest Airlines Co.,IND,"Indianapolis, IN",TPA,"Tampa, FL",837.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL",801.0
SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX",BIL,"Billings, MT",1081.0
Republic Airline,MHT,"Manchester, NH",EWR,"Newark, NJ",209.0
